Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Jayson Tatum,SF,6.5,13.7,47.1,1.2,3.7,32.4,4.3,5.1,84.5,5.3,10.0,52.6,1.345,0.52,19,19.0,35.9,18.5,0.5,3.8,4.4,2.7,1.2,0.5,2.2,2.6,1.3,16.24,BOS
Jaylen Brown,SG,6.9,14.8,46.6,2.4,6.2,39.3,1.8,2.8,64.0,4.4,8.6,51.9,1.218,0.55,18,15.0,32.4,18.0,0.9,3.9,4.8,1.4,0.8,0.6,1.3,3.2,1.1,16.09,BOS
Terry Rozier,SG,5.7,14.0,40.6,2.7,7.7,34.7,2.4,2.9,82.1,3.0,6.3,47.9,1.177,0.5,19,19.0,36.6,16.5,0.4,4.8,5.3,5.7,1.3,0.3,1.2,2.0,5.0,17.32,BOS
Al Horford,C,5.8,10.7,54.4,0.8,2.3,34.9,3.3,3.9,82.7,5.1,8.5,59.6,1.466,0.58,19,19.0,35.7,15.7,1.7,6.6,8.3,3.3,1.0,1.2,1.7,2.1,2.0,20.11,BOS
Marcus Morris Sr.,SF,4.3,11.7,36.8,1.6,3.8,41.7,2.2,3.1,71.2,2.7,7.9,34.4,1.058,0.43,19,4.0,29.6,12.4,1.1,4.4,5.4,1.1,0.4,0.3,1.0,3.2,1.1,9.37,BOS
Marcus Smart,PG,3.2,9.5,33.6,1.0,4.5,22.1,2.4,3.3,73.5,2.2,5.0,44.0,1.028,0.39,15,4.0,29.9,9.8,0.9,2.8,3.7,5.3,1.7,0.7,2.4,2.9,2.2,11.7,BOS
Aron Baynes,C,2.4,4.7,50.6,0.6,1.2,47.8,0.7,0.9,72.2,1.8,3.5,51.5,1.281,0.57,19,12.0,20.5,6.0,2.4,3.8,6.2,1.0,0.2,0.6,0.4,2.3,2.4,15.66,BOS
Greg Monroe,C,1.7,3.5,50.0,0.0,0.0,0.0,1.4,2.0,68.2,1.7,3.5,50.0,1.395,0.5,11,0.0,9.5,4.8,1.3,1.9,3.2,0.5,0.2,0.2,1.3,0.8,0.4,15.99,BOS
Shane Larkin,G,1.5,3.2,45.7,0.4,1.2,30.8,0.5,0.5,100.0,1.1,2.0,54.5,1.171,0.51,11,0.0,14.0,3.7,0.1,0.9,1.0,1.8,0.5,0.0,0.5,1.4,3.3,10.09,BOS
Semi Ojeleye,PF,0.6,1.9,30.3,0.4,1.3,27.3,0.4,0.4,85.7,0.2,0.6,36.4,0.97,0.39,17,3.0,13.5,1.9,0.2,1.4,1.6,0.1,0.2,0.0,0.1,1.2,1.0,2.91,BOS
Abdel Nader,SF,0.5,1.4,33.3,0.0,0.4,0.0,0.2,0.4,50.0,0.5,1.0,45.5,0.8,0.33,11,0.0,3.0,1.1,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.2,1.5,5.28,BOS
Guerschon Yabusele,F,0.1,0.8,11.1,0.0,0.5,0.0,0.2,0.4,40.0,0.1,0.3,33.3,0.444,0.11,12,0.0,4.0,0.3,0.3,0.7,0.9,0.3,0.2,0.0,0.0,0.8,inf,1.2,BOS
Jeremy Lin,G,5.0,12.0,41.7,1.0,2.0,50.0,7.0,7.0,100.0,4.0,10.0,40.0,1.5,0.46,1,1.0,25.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,1.3,15.97,BKN
D'Angelo Russell,PG,5.8,14.0,41.4,1.9,5.8,32.4,2.0,2.7,74.0,3.9,8.2,47.7,1.1059999999999999,0.48,48,35.0,25.7,15.5,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,1.7,15.31,BKN
Rondae Hollis-Jefferson,SF,5.0,10.6,47.2,0.2,0.8,24.1,3.7,4.6,78.8,4.8,9.9,49.1,1.307,0.48,68,59.0,28.3,13.9,1.5,5.3,6.8,2.5,1.0,0.7,1.8,2.1,1.4,16.9,BKN
DeMarre Carroll,F,4.5,10.8,41.4,2.0,5.4,37.1,2.6,3.4,76.4,2.5,5.4,45.7,1.252,0.51,73,73.0,29.9,13.5,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,1.4,14.31,BKN
